89,35:37.5,278,37:06.6,Concord St & Bridge St,40.69766564,144,-73.98476437,Nassau St & Navy St,40.69839895,-73.98068914,34086,Subscriber,1984,1
377,35:49.8,362,42:07.6,Broadway & W 37 St,40.75172632,167,-73.98753523,E 39 St & 3 Ave,40.7489006,-73.97604882,35327,Subscriber,1986,1
454,40:23.9,3345,47:58.8,Madison Ave & E 99 St,40.78948542,3296,-73.95242929,E 93 St & 2 Ave,40.78245418,-73.94891962,31853,Subscriber,1989,1
2221,40:30.9,120,17:32.1,Lexington Ave & Classon Ave,40.68676793,382,-73.95928168,University Pl & E 14 St,40.73492695,-73.99200509,35095,Subscriber,1974,1
450,19:35.7,426,27:06.6,West St & Chambers St,40.71754834,304,-74.01322069,Broadway & Battery Pl,40.70463334,-74.01361706,34207,Subscriber,1994,1
712,24:53.9,3435,36:46.6,Grand St & Elizabeth St,40.718822,342,-73.99596,Columbia St & Rivington St,40.71739973,-73.98016555,34362,Subscriber,1973,1
553,27:10.8,435,36:24.8,W 21 St & 6 Ave,40.74173969,465,-73.99415556,Broadway & W 41 St,40.75513557,-73.98658032,33890,Subscriber,1994,1
604,59:44.8,546,09:49.7,E 30 St & Park Ave S,40.74444921,228,-73.98303529,E 48 St & 3 Ave,40.7546011,-73.97187886,34848,Subscriber,1987,1
528,04:00.2,285,12:49.1,Broadway & E 14 St,40.73454567,229,-73.99074142,Great Jones St,40.72743423,-73.99379025,33890,Subscriber,1965,1
794,07:50.6,442,21:05.2,W 27 St & 7 Ave,40.746647,127,-73.993915,Barrow St & Hudson St,40.73172428,-74.00674436,35095,Subscriber,1965,1
549,26:00.1,440,35:09.5,E 45 St & 3 Ave,40.75255434,3141,-73.97282625,1 Ave & E 68 St,40.76500525,-73.95818491,31853,Subscriber,1977,1
309,58:17.9,368,03:27.7,Carmine St & 6 Ave,40.73038599,3256,-74.00214988,Pier 40 - Hudson River Park,40.72771408,-74.01129574,34820,Subscriber,1963,1
132,58:35.7,3255,00:48.5,8 Ave & W 31 St,40.75058535,379,-73.99468482,W 31 St & 7 Ave,40.749156,-73.9916,35327,Subscriber,1980,1
387,00:24.1,3235,06:51.8,E 41 St & Madison Ave,40.75216528,518,-73.97992194,E 39 St & 2 Ave,40.74780373,-73.9734419,35376,Subscriber,1976,1
402,14:14.3,347,20:57.0,Greenwich St & W Houston St,40.728846,459,-74.008591,W 20 St & 11 Ave,40.746745,-74.007756,35589,Subscriber,1982,1
1040,19:23.5,379,36:43.8,W 31 St & 7 Ave,40.749156,403,-73.9916,E 2 St & 2 Ave,40.72502876,-73.99069656,35327,Subscriber,1985,2
105,21:02.9,459,22:48.1,W 20 St & 11 Ave,40.746745,462,-74.007756,W 22 St & 10 Ave,40.74691959,-74.00451887,35589,Subscriber,1982,1
714,32:30.4,509,44:24.4,9 Ave & W 22 St,40.7454973,254,-74.00197139,W 11 St & 6 Ave,40.73532427,-73.99800419,33890,Subscriber,1988,2
2223,33:44.1,293,10:47.6,Lafayette St & E 8 St,40.73020661,3129,-73.99102628,Queens Plaza North & Crescent St,40.75110165,-73.94073717,31853,Subscriber,1969,1
411,50:52.0,462,57:43.2,W 22 St & 10 Ave,40.74691959,435,-74.00451887,W 21 St & 6 Ave,40.74173969,-73.99415556,35052,Subscriber,1970,2
382,25:22.8,297,31:45.3,E 15 St & 3 Ave,40.734232,174,-73.986923,E 25 St & 1 Ave,40.7381765,-73.97738662,35376,Subscriber,1969,1
754,25:48.9,435,38:23.5,W 21 St & 6 Ave,40.74173969,3258,-73.99415556,W 27 St & 10 Ave,40.75018156,-74.00218427,34207,Subscriber,1969,1
803,35:58.9,3064,49:22.6,Myrtle Ave & Lewis Ave,40.69681963,532,-73.93756926,S 5 Pl & S 5 St,40.710451,-73.960876,35293,Subscriber,1993,1
214,43:38.3,262,47:13.2,Washington Park,40.6917823,366,-73.9737299,Clinton Ave & Myrtle Ave,40.693261,-73.968896,33758,Subscriber,1990,2
457,45:54.6,174,53:32.4,E 25 St & 1 Ave,40.7381765,474,-73.97738662,5 Ave & E 29 St,40.7451677,-73.98683077,35376,Subscriber,1970,2
932,48:55.6,532,04:27.6,S 5 Pl & S 5 St,40.710451,237,-73.960876,E 11 St & 2 Ave,40.73047309,-73.98672378,35293,Subscriber,1981,1
383,51:30.2,3708,57:53.9,W 13 St & 5 Ave,40.735445,3260,-73.99431,Mercer St & Bleecker St,40.72706363,-73.99662137,34848,Subscriber,1980,2
1326,55:57.0,3258,18:03.4,W 27 St & 10 Ave,40.75018156,326,-74.00218427,E 11 St & 1 Ave,40.72953837,-73.98426726,34207,Subscriber,1972,1
145,53:14.8,3443,55:40.4,W 52 St & 6 Ave,40.76132983,447,-73.97982001,8 Ave & W 52 St,40.76370739,-73.9851615,35327,Subscriber,1956,1
732,43:25.9,3718,55:38.0,E 11 St & Avenue B,40.72746421,368,-73.97950418,Carmine St & 6 Ave,40.73038599,-74.00214988,34262,Subscriber,1962,1
1665,44:16.1,3071,12:01.5,Boerum St & Broadway,40.70538077,3417,-73.94976519,Baltic St & 5 Ave,40.6795766,-73.97854971,33890,Subscriber,1989,1
462,46:39.1,472,54:22.1,E 32 St & Park Ave,40.7457121,335,-73.98194829,Washington Pl & Broadway,40.72903917,-73.99404649,35095,Subscriber,1963,1
