tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
747,28:27.6,40:55.6,3292,5 Ave & E 93 St,40.7857851,-73.957481,3137,5 Ave & E 72 St,40.77282817,-73.96685276,35649,Customer,1970,0
1738,41:24.1,10:22.2,3137,5 Ave & E 72 St,40.77282817,-73.96685276,4124,Central Park W & W 91 St,40.78866499,-73.96680057,35649,Customer,1970,0
3280,08:20.9,03:01.8,4061,Fort Washington Ave & W 173 St,40.84522,-73.940493,4061,Fort Washington Ave & W 173 St,40.84522,-73.940493,52272,Customer,1970,0
1512,11:16.0,36:28.6,4124,Central Park W & W 91 St,40.78866499,-73.96680057,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,35649,Subscriber,1981,2
678,18:57.3,30:15.9,540,Lexington Ave & E 29 St,40.74311555,-73.98215353,3905,4 Ave & E 12 St,40.732647,-73.99011,35649,Customer,1970,0
234,32:00.9,35:55.5,4061,Fort Washington Ave & W 173 St,40.84522,-73.940493,4068,Fort Washington Ave & W 183 St,40.852252,-73.937854,52272,Customer,1970,0
857,43:10.4,57:28.3,3905,4 Ave & E 12 St,40.732647,-73.99011,4111,E 27 St & Park Ave S,40.7427518,-73.98471572,35649,Customer,1970,0
305,05:42.1,10:47.7,4111,E 27 St & Park Ave S,40.7427518,-73.98471572,519,Pershing Square North,40.751873,-73.977706,35649,Customer,1970,0
1426,45:44.8,09:31.6,519,Pershing Square North,40.751873,-73.977706,505,6 Ave & W 33 St,40.74901271,-73.98848395,35649,Customer,1970,0
1967,53:12.5,26:00.4,505,6 Ave & W 33 St,40.74901271,-73.98848395,4091,Jerome Ave & Ogden Ave,40.829797,-73.931015,35649,Customer,1970,0
953,46:59.5,02:52.8,4068,Fort Washington Ave & W 183 St,40.852252,-73.937854,4209,University Ave & W 168 St,40.838706,-73.927034,52272,Customer,1970,0
931,42:11.6,57:43.2,4091,Jerome Ave & Ogden Ave,40.829797,-73.931015,3535,Mt Morris Park W & W 120 St,40.804038,-73.945925,35649,Customer,1970,0
1091,31:13.4,49:25.2,4209,University Ave & W 168 St,40.838706,-73.927034,4068,Fort Washington Ave & W 183 St,40.852252,-73.937854,52272,Customer,1970,0
1304,01:36.4,23:20.7,4068,Fort Washington Ave & W 183 St,40.852252,-73.937854,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,52272,Customer,1970,0
861,36:25.6,50:47.0,3535,Mt Morris Park W & W 120 St,40.804038,-73.945925,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,35649,Customer,1970,0
92,02:56.3,04:29.1,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,35649,Customer,1970,0
543,14:36.6,23:39.6,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,3150,E 85 St & York Ave,40.77536905,-73.94803392,35649,Customer,1970,0
149,40:23.6,42:52.9,3150,E 85 St & York Ave,40.77536905,-73.94803392,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,35649,Customer,1970,0
429,46:52.3,54:01.4,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,35649,Customer,1970,0
4151,55:15.5,04:26.6,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,3942,Broadway & W 133 St,40.8190344,-73.956156,52272,Customer,1970,0
409,28:13.9,35:03.4,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,3325,E 95 St & 3 Ave,40.7849032,-73.950503,35649,Customer,1970,0
231,01:58.6,05:49.8,3942,Broadway & W 133 St,40.8190344,-73.956156,3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,52272,Customer,1970,0
667,23:25.2,34:33.0,3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,3491,E 118 St & 1 Ave,40.79747,-73.93504,52272,Customer,1970,0
157,53:22.3,55:59.4,3325,E 95 St & 3 Ave,40.7849032,-73.950503,3336,E 97 St & Madison Ave,40.787801,-73.953559,35649,Customer,1970,0
4739,03:11.1,22:10.1,3336,E 97 St & Madison Ave,40.787801,-73.953559,423,W 54 St & 9 Ave,40.76584941,-73.98690506,35649,Customer,1970,0
147,58:48.6,01:16.6,3491,E 118 St & 1 Ave,40.79747,-73.93504,3493,E 118 St & 3 Ave,40.799139,-73.9389152,52272,Customer,1970,0
236,12:38.0,16:34.5,3493,E 118 St & 3 Ave,40.799139,-73.9389152,3498,Pleasant Ave & E 120 St,40.7974772,-73.9311847,52272,Customer,1970,0
398,29:50.7,36:29.7,423,W 54 St & 9 Ave,40.76584941,-73.98690506,3697,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,35649,Customer,1970,0
983,40:19.8,56:43.5,3697,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,35649,Customer,1970,0
837,10:51.6,24:49.3,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,3143,5 Ave & E 78 St,40.77632142,-73.96427393,35649,Customer,1970,0
803,23:05.1,36:29.1,3498,Pleasant Ave & E 120 St,40.7974772,-73.9311847,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,52272,Customer,1970,0
847,57:06.8,11:14.5,3143,5 Ave & E 78 St,40.77632142,-73.96427393,3367,5 Ave & E 103 St,40.7922553,-73.95249933,35649,Customer,1970,0
1834,59:49.8,30:24.4,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,52272,Customer,1970,0
511,37:39.7,46:11.3,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,301,E 2 St & Avenue B,40.72217444,-73.98368779,52272,Customer,1970,0
274,59:07.2,03:42.1,301,E 2 St & Avenue B,40.72217444,-73.98368779,237,E 11 St & 2 Ave,40.73047309,-73.98672378,52272,Customer,1970,0
284,19:05.3,23:50.3,237,E 11 St & 2 Ave,40.73047309,-73.98672378,401,Allen St & Rivington St,40.72019576,-73.98997825,52272,Customer,1970,0
187,33:19.1,36:26.3,3367,5 Ave & E 103 St,40.7922553,-73.95249933,3424,E 106 St & Lexington Ave,40.791976,-73.945993,35649,Customer,1970,0
228,40:29.9,44:17.9,3424,E 106 St & Lexington Ave,40.791976,-73.945993,3494,E 115 St & Lexington Ave,40.797911,-73.9423,35649,Customer,1970,0
1708,02:34.3,31:03.0,3494,E 115 St & Lexington Ave,40.797911,-73.9423,515,W 43 St & 10 Ave,40.76009437,-73.99461843,35649,Customer,1970,0
